observation_date,CADURMANRGSP
1997-01-01,40748.6
1998-01-01,48385.3
1999-01-01,60882.6
2000-01-01,80492.8
2001-01-01,71775.3
2002-01-01,71213.4
2003-01-01,80855.5
2004-01-01,84411.5
2005-01-01,96859.4
2006-01-01,104047.0
2007-01-01,114282.6
2008-01-01,119063.0
2009-01-01,114127.2
2010-01-01,118858.9
2011-01-01,130390.5
2012-01-01,135025.8
2013-01-01,141041.6
2014-01-01,146536.5
2015-01-01,154380.5
2016-01-01,161998.8
2017-01-01,176065.9
2018-01-01,187865.7
2019-01-01,193106.4
2020-01-01,200237.7
2021-01-01,224702.6
2022-01-01,222398.5
2023-01-01,222636.6
2024-01-01,211951.0
