observation_date,CAFABRMETRGSP
1997-01-01,15022.1
1998-01-01,14103.4
1999-01-01,14599.7
2000-01-01,16331.7
2001-01-01,14591.6
2002-01-01,12747.0
2003-01-01,13284.5
2004-01-01,13642.1
2005-01-01,14166.0
2006-01-01,14388.2
2007-01-01,15548.3
2008-01-01,14398.1
2009-01-01,11179.8
2010-01-01,11902.8
2011-01-01,12734.6
2012-01-01,12636.5
2013-01-01,12537.2
2014-01-01,13337.6
2015-01-01,12974.1
2016-01-01,12673.6
2017-01-01,13298.3
2018-01-01,13723.6
2019-01-01,13195.2
2020-01-01,12163.4
2021-01-01,12303.5
2022-01-01,10862.5
2023-01-01,9850.6
