observation_date,CAFURNMANRGSP
1997-01-01,3897.3
1998-01-01,3972.1
1999-01-01,4461.2
2000-01-01,4505.0
2001-01-01,4218.7
2002-01-01,3991.9
2003-01-01,3846.8
2004-01-01,3994.8
2005-01-01,4227.3
2006-01-01,4397.6
2007-01-01,3853.8
2008-01-01,3227.9
2009-01-01,2183.4
2010-01-01,2198.5
2011-01-01,2130.0
2012-01-01,2003.7
2013-01-01,2280.8
2014-01-01,2359.1
2015-01-01,2532.7
2016-01-01,2504.9
2017-01-01,2812.9
2018-01-01,2807.2
2019-01-01,2894.9
2020-01-01,2421.8
2021-01-01,2623.7
2022-01-01,2551.1
2023-01-01,2107.4
