observation_date,CAMISCMANRGSP
1997-01-01,8132.8
1998-01-01,9832.6
1999-01-01,10149.8
2000-01-01,11449.7
2001-01-01,9985.0
2002-01-01,10109.9
2003-01-01,10820.0
2004-01-01,11039.1
2005-01-01,11844.8
2006-01-01,13328.4
2007-01-01,12968.2
2008-01-01,13511.3
2009-01-01,14759.2
2010-01-01,15170.9
2011-01-01,14488.8
2012-01-01,15621.4
2013-01-01,15399.9
2014-01-01,14808.7
2015-01-01,12931.2
2016-01-01,13276.5
2017-01-01,13521.1
2018-01-01,14403.4
2019-01-01,14033.5
2020-01-01,14040.1
2021-01-01,16159.5
2022-01-01,16438.8
2023-01-01,16704.4
