observation_date,CAMVEHMANRGSP
1997-01-01,2364.3
1998-01-01,2504.6
1999-01-01,2747.4
2000-01-01,2865.4
2001-01-01,3454.0
2002-01-01,3832.0
2003-01-01,4072.4
2004-01-01,4098.1
2005-01-01,4182.1
2006-01-01,5162.3
2007-01-01,4781.6
2008-01-01,4166.5
2009-01-01,2562.2
2010-01-01,2649.4
2011-01-01,3379.4
2012-01-01,2439.0
2013-01-01,2600.3
2014-01-01,3206.8
2015-01-01,4142.2
2016-01-01,4942.0
2017-01-01,6673.0
2018-01-01,7349.1
2019-01-01,7588.7
2020-01-01,8308.9
2021-01-01,11116.6
2022-01-01,13020.8
2023-01-01,12045.6
