observation_date,CANDURMANRGSP
1997-01-01,84179.1
1998-01-01,86232.8
1999-01-01,90067.5
2000-01-01,97008.2
2001-01-01,97036.4
2002-01-01,85137.7
2003-01-01,96484.2
2004-01-01,105394.1
2005-01-01,112896.6
2006-01-01,119516.9
2007-01-01,124632.4
2008-01-01,144767.5
2009-01-01,132411.9
2010-01-01,115887.8
2011-01-01,93542.1
2012-01-01,96630.4
2013-01-01,104574.9
2014-01-01,109862.8
2015-01-01,111276.4
2016-01-01,111862.0
2017-01-01,118570.8
2018-01-01,131669.3
2019-01-01,140098.6
2020-01-01,123428.1
2021-01-01,135241.7
2022-01-01,128728.9
2023-01-01,128961.9
2024-01-01,134757.7
