observation_date,CAPAPMANRGSP
1997-01-01,3871.3
1998-01-01,3641.4
1999-01-01,4038.3
2000-01-01,3729.3
2001-01-01,3117.5
2002-01-01,3296.7
2003-01-01,3000.4
2004-01-01,3209.3
2005-01-01,3046.2
2006-01-01,3929.7
2007-01-01,3612.3
2008-01-01,3113.2
2009-01-01,3419.9
2010-01-01,3137.5
2011-01-01,3139.5
2012-01-01,2677.0
2013-01-01,2749.7
2014-01-01,2721.4
2015-01-01,3014.7
2016-01-01,3000.0
2017-01-01,2961.6
2018-01-01,2935.4
2019-01-01,3031.0
2020-01-01,3441.6
2021-01-01,3150.4
2022-01-01,2977.5
2023-01-01,2717.4
