observation_date,CAPETCOALMANRGSP
1997-01-01,23457.8
1998-01-01,25678.9
1999-01-01,23777.8
2000-01-01,25674.1
2001-01-01,27383.2
2002-01-01,19884.4
2003-01-01,24831.1
2004-01-01,26020.3
2005-01-01,34320.8
2006-01-01,33620.5
2007-01-01,34012.5
2008-01-01,56104.9
2009-01-01,40017.6
2010-01-01,26991.6
2011-01-01,14473.7
2012-01-01,12379.0
2013-01-01,11939.9
2014-01-01,16553.3
2015-01-01,15323.4
2016-01-01,12657.7
2017-01-01,15057.6
2018-01-01,20966.8
2019-01-01,25644.4
2020-01-01,8677.4
2021-01-01,19385.5
2022-01-01,16810.8
2023-01-01,19068.5
