observation_date,CATEXTRGSP
1997-01-01,1207.5
1998-01-01,1244.4
1999-01-01,1482.4
2000-01-01,1673.8
2001-01-01,1429.9
2002-01-01,1383.9
2003-01-01,1195.5
2004-01-01,1560.4
2005-01-01,1408.7
2006-01-01,1440.7
2007-01-01,1323.6
2008-01-01,1324.1
2009-01-01,1015.9
2010-01-01,926.2
2011-01-01,784.5
2012-01-01,905.5
2013-01-01,1124.4
2014-01-01,1124.7
2015-01-01,1168.5
2016-01-01,1108.4
2017-01-01,1034.7
2018-01-01,1061.5
2019-01-01,1062.1
2020-01-01,1054.7
2021-01-01,1111.8
2022-01-01,1024.6
2023-01-01,923.1
