GwH,CA Hydroelectric,CA Nuclear,CA Coal,CA Oil,CA Natural Gas,CA Geothermal,CA Biomass,CA Wind,CA Solar PV,CA Solar Thermal,CA Petroleum Coke,CA Waste Heat,Net Imports
2001-01-01,24987.85,33293.82,2811.15,378.92,116157.87,13524.81,5781.81,3242.30,2.58,833.71,1231.13,242.28,64925.98
2002-01-01,31359.47,34353.33,3009.99,87.19,92498.06,13395.65,6217.23,3546.11,2.46,848.33,1265.46,239.54,87593.84
2003-01-01,36320.83,35593.79,3034.45,102.93,94214.36,13328.80,6093.59,3315.60,1.95,756.57,1237.15,293.53,85400.58
2004-01-01,34489.95,30241.36,2896.21,126.92,105033.18,13493.67,6081.86,4257.82,1.96,739.12,1196.82,236.99,91288.52
2005-01-01,40262.54,36155.31,3011.85,148.15,96892.95,13292.20,6079.65,4084.05,1.99,658.33,1271.28,221.00,87081.08
2006-01-01,48558.57,32035.82,2919.98,133.68,108951.55,13093.14,5864.91,4901.53,2.30,613.59,1270.02,258.74,79714.35
2007-01-01,27106.13,35698.10,2970.18,103.31,120244.68,13084.16,5766.43,5569.73,2.21,665.75,1248.70,233.25,92216.57
2008-01-01,24459.59,32482.35,2841.29,91.68,122793.17,12906.64,5915.42,5724.00,3.39,730.15,1141.87,277.56,98071.69
2009-01-01,28539.60,31509.27,2565.11,66.81,117112.08,12907.23,6122.26,6248.59,16.56,840.52,1172.74,232.56,90847.01
2010-01-01,34189.79,32214.40,2290.40,51.67,109695.37,12739.68,5984.73,6171.68,89.58,878.84,1119.60,240.79,85392.20
2011-01-01,42736.88,36666.43,2096.07,36.48,91088.41,12684.69,6058.26,7598.38,225.81,888.84,1024.18,266.69,92427.44
2012-01-01,27461.09,18491.02,1262.74,48.73,121782.99,12733.17,6203.73,9242.20,1022.56,866.94,317.87,216.56,102534.62
2013-01-01,24100.87,17860.07,823.85,38.52,120869.68,12510.30,6552.62,11964.22,3793.60,685.85,193.88,222.42,96664.01
2014-01-01,16481.66,17027.49,802.35,45.05,121861.22,12186.07,6778.51,13103.91,9145.42,1623.57,208.44,237.49,96646.26
2015-01-01,13946.28,18524.82,310.67,54.37,117568.40,11993.62,6361.63,12191.29,13054.79,2446.29,229.33,177.11,99019.26
2016-01-01,28993.50,18930.80,324.09,37.28,98882.82,11582.13,5901.72,13498.55,17382.85,2548.09,207.06,182.40,92326.16
2017-01-01,43312.21,17925.00,304.50,33.14,89620.44,11745.14,5837.73,12867.47,21892.90,2463.60,246.17,162.90,85703.77
2018-01-01,26298.35,18267.80,295.79,35.00,90779.09,11527.99,5914.51,14087.11,25054.54,2544.62,206.94,222.72,90647.83
2019-01-01,38501.30,16162.98,249.81,36.03,86248.10,10966.83,5955.74,13688.12,26422.93,2302.81,191.10,219.74,77237.11
2020-01-01,21418.33,16280.13,317.01,30.37,92394.17,11344.88,5719.79,13708.32,28457.97,2276.89,197.45,186.91,81855.70
2021-01-01,14545.00,16477.37,303.23,38.79,97444.59,11116.31,5471.55,15338.83,33422.41,2065.15,204.19,177.76,84135.79
2022-01-01,17615.83,17627.43,273.03,65.14,96457.13,11123.29,5411.98,14094.54,37271.19,2102.34,99.95,215.47,84197.60
2023-01-01,31919.02,17714.35,257.01,36.21,94191.50,10998.66,5036.93,13919.63,39420.36,1923.48,0.00,205.59,65517.58
