observation_date,CACONSTRGSP(Millions of Dollars)
1997-01-01,85859.5
1998-01-01,95114.9
1999-01-01,101706.2
2000-01-01,109440.5
2001-01-01,109735.3
2002-01-01,106562.4
2003-01-01,114235.2
2004-01-01,128879.7
2005-01-01,132226.3
2006-01-01,127899.8
2007-01-01,117525.8
2008-01-01,94929.8
2009-01-01,79281.4
2010-01-01,76970.2
2011-01-01,72767.0
2012-01-01,77502.9
2013-01-01,86112.5
2014-01-01,88793.2
2015-01-01,97403.7
2016-01-01,104378.3
2017-01-01,110699.1
2018-01-01,116056.6
2019-01-01,119243.5
2020-01-01,113461.1
2021-01-01,115304.4
2022-01-01,107265.3
2023-01-01,101317.4
2024-01-01,104149.1
