observation_date,CACORPINCTX
1942-01-01,34389
1943-01-01,
1944-01-01,67671
1945-01-01,
1946-01-01,55783
1947-01-01,
1948-01-01,69181
1949-01-01,
1950-01-01,74546
1951-01-01,98428
1952-01-01,119386
1953-01-01,119107
1954-01-01,125841
1955-01-01,133412
1956-01-01,157340
1957-01-01,167339
1958-01-01,172119
1959-01-01,175405
1960-01-01,240064
1961-01-01,273361
1962-01-01,290797
1963-01-01,311275
1964-01-01,404757
1965-01-01,416447
1966-01-01,433825
1967-01-01,452574
1968-01-01,578812
1969-01-01,592493
1970-01-01,587577
1971-01-01,533121
1972-01-01,661071
1973-01-01,866347
1974-01-01,1046031
1975-01-01,1252633
1976-01-01,1284068
1977-01-01,1641595
1978-01-01,2076270
1979-01-01,2374712
1980-01-01,2507183
1981-01-01,2731111
1982-01-01,2643946
1983-01-01,2553948
1984-01-01,3218856
1985-01-01,3658093
1986-01-01,3833261
1987-01-01,4758950
1988-01-01,4781873
1989-01-01,5062844
1990-01-01,4928377
1991-01-01,4440479
1992-01-01,4518418
1993-01-01,4727879
1994-01-01,4633449
1995-01-01,5747929
1996-01-01,5831072
1997-01-01,5803652
1998-01-01,5587671
1999-01-01,5459199
2000-01-01,6638762
2001-01-01,6899302
2002-01-01,5333036
2003-01-01,6803559
2004-01-01,6925916
2005-01-01,8670065
2006-01-01,10316467
2007-01-01,11157898
2008-01-01,11849097
2009-01-01,9535679
2010-01-01,9114589
2011-01-01,9613594
2012-01-01,7949000
2013-01-01,7462000
2014-01-01,8858498
2015-01-01,9007182
2016-01-01,9902185
2017-01-01,10112520
2018-01-01,12488304
2019-01-01,13792519
2020-01-01,9817957
2021-01-01,26097277
2022-01-01,46005502
2023-01-01,29936654
2024-01-01,41408314
